datetime,open,high,low,close,volume
2024-11-15 15:45:00,204.14,205.25999,204.07001,205.0,619456
2024-11-15 15:30:00,204.71001,204.8,204.12,204.13499,230647
2024-11-15 15:15:00,205.375,205.5,204.64999,204.67751,146567
2024-11-15 15:00:00,205.53999,205.74001,205.2,205.38,101760
2024-11-15 14:45:00,205.64999,205.88,205.31,205.5274,127012
2024-11-15 14:30:00,205.39,205.67999,205.30009,205.67999,91357
2024-11-15 14:15:00,205.97501,206.02,205.3,205.39,70767
2024-11-15 14:00:00,205.84,205.995,205.71001,205.995,46266
2024-11-15 13:45:00,206.065,206.065,205.62,205.825,54095
2024-11-15 13:30:00,205.95,206.205,205.73,206.065,50676
2024-11-15 13:15:00,205.86,206.17,205.86,205.98,78870
2024-11-15 13:00:00,205.575,205.84,205.53,205.84,56038
2024-11-15 12:45:00,205.52,205.59,205.1301,205.565,57190
2024-11-15 12:30:00,205.39,205.52,205.14999,205.52,54157
2024-11-15 12:15:00,205.9109,206.06,205.35001,205.401,67972
2024-11-15 12:00:00,206.22,206.22,205.84,205.94,46583
2024-11-15 11:45:00,206.2383,206.34,205.99001,206.21001,123664
2024-11-15 11:30:00,207.02,207.02,205.89,206.17,89824
2024-11-15 11:15:00,206.72,207.28,206.655,207.03999,71367
2024-11-15 11:00:00,206.82001,207.0,206.53889,206.63,69752
2024-11-15 10:45:00,206.91499,207.27,206.71001,206.91,74067
2024-11-15 10:30:00,207.185,207.265,206.72,206.88,63499
2024-11-15 10:15:00,207.33,207.84,207.08,207.2,53439
2024-11-15 10:00:00,207.63,207.64999,206.82001,207.315,121018
2024-11-15 09:45:00,208.03999,208.14999,207.3383,207.45,83587
2024-11-15 09:30:00,207.46001,208.49001,207.11,208.03999,370354
2024-11-14 15:45:00,208.45,209.52,208.10001,209.00999,665129
2024-11-14 15:30:00,208.50999,208.75,208.33,208.45,158883
2024-11-14 15:15:00,208.3,208.7225,208.28,208.47,128166
2024-11-14 15:00:00,209.03999,209.05499,208.19,208.315,179847
2024-11-14 14:45:00,208.545,209.10001,208.455,209.0965,70334
2024-11-14 14:30:00,208.42,208.55,208.14,208.55,50768
2024-11-14 14:15:00,208.22,208.42999,208.05,208.42999,164512
2024-11-14 14:00:00,207.77,208.46001,207.765,208.25,147666
2024-11-14 13:45:00,207.67,207.965,207.59,207.77,107698
2024-11-14 13:30:00,207.72,207.745,207.45,207.69,101419
2024-11-14 13:15:00,207.59,207.91,207.39,207.735,88841
2024-11-14 13:00:00,207.34,207.88,207.34,207.5,72129
2024-11-14 12:45:00,207.09641,207.37,206.75,207.35001,91706
2024-11-14 12:30:00,207.095,207.3038,206.8,207.13,63696
2024-11-14 12:15:00,207.25999,207.565,207.10001,207.1586,126507
2024-11-14 12:00:00,206.95,207.45,206.84,207.25,141253
2024-11-14 11:45:00,207.05,207.07449,206.52,206.99001,98409
2024-11-14 11:30:00,207.595,207.595,206.95,207.0,154186
2024-11-14 11:15:00,207.06,207.6375,206.73,207.575,121433
2024-11-14 11:00:00,206.98,207.11,206.72,206.925,119378
2024-11-14 10:45:00,207.00999,207.13,206.67999,206.98,130247
2024-11-14 10:30:00,207.09,207.60001,206.74001,207.0,211598
2024-11-14 10:15:00,207.27499,207.39,206.57001,207.13,138513
2024-11-14 10:00:00,207.44,207.67999,206.89,207.255,120897
2024-11-14 09:45:00,207.05499,207.85001,206.35001,207.60001,181122
2024-11-14 09:30:00,210.0,210.49989,206.76,206.98,1433343
2024-11-13 15:45:00,210.63,210.98,210.47,210.87,284834
2024-11-13 15:30:00,210.84,210.98,210.55,210.61,170659
2024-11-13 15:15:00,210.68201,210.92,210.50011,210.88,119953
2024-11-13 15:00:00,210.55,210.75999,210.42,210.6496,70673
2024-11-13 14:45:00,210.48,210.5999,210.39,210.57001,54281
2024-11-13 14:30:00,210.0799,210.5616,209.99001,210.46001,43480
2024-11-13 14:15:00,210.2435,210.33501,209.845,210.02,70949
2024-11-13 14:00:00,210.37,210.53,210.17,210.255,225255
2024-11-13 13:45:00,210.72,210.7708,210.39,210.42,62300
2024-11-13 13:30:00,210.64999,210.76559,210.56,210.74541,42422
2024-11-13 13:15:00,210.42,210.67999,210.31,210.66,40210
2024-11-13 13:00:00,211.065,211.2399,210.42999,210.47501,46667
2024-11-13 12:45:00,211.265,211.41,210.92999,211.09,46040
2024-11-13 12:30:00,211.11,211.3436,211.06,211.28,32528
2024-11-13 12:15:00,211.11,211.215,210.94,211.09,40853
2024-11-13 12:00:00,211.125,211.32001,211.07001,211.12,42534
2024-11-13 11:45:00,210.91,211.32001,210.91,211.125,39409
2024-11-13 11:30:00,211.17,211.28,210.89,210.91,57037
2024-11-13 11:15:00,210.95,211.27,210.77,211.125,48158
2024-11-13 11:00:00,210.9899,210.9899,210.36,210.87,453965
2024-11-13 10:45:00,211.0638,211.0638,210.66,210.92,46619
2024-11-13 10:30:00,210.83501,211.28,210.60001,211.1026,48740
2024-11-13 10:15:00,210.535,211.12,210.50999,210.84,80287
2024-11-13 10:00:00,210.78999,210.84,210.10001,210.535,52095
2024-11-13 09:45:00,210.31,210.81,209.75,210.77251,59000
2024-11-13 09:30:00,209.5,210.53999,209.0701,210.35001,131399
2024-11-12 15:45:00,210.89999,211.11,210.75,210.94,316123
2024-11-12 15:30:00,211.155,211.24001,210.66,210.86,88151
2024-11-12 15:15:00,211.41,211.44,211.13,211.155,50839
2024-11-12 15:00:00,211.22501,211.61,211.16,211.42,56765
2024-11-12 14:45:00,210.88,211.28,210.84,211.22501,52355
