datetime,open,high,low,close,volume
2024-11-15 15:45:00,224.78999,225.24001,224.5699,224.92,3191858
2024-11-15 15:30:00,224.81,225.06,224.72501,224.8,1046078
2024-11-15 15:15:00,224.8745,225.17999,224.8,224.81,897530
2024-11-15 15:00:00,224.825,225.31,224.8,224.875,1048509
2024-11-15 14:45:00,224.82001,224.95,224.47,224.82001,558084
2024-11-15 14:30:00,224.39999,224.92999,224.3,224.84,655688
2024-11-15 14:15:00,224.675,224.75999,224.33,224.3999,514750
2024-11-15 14:00:00,224.67,224.96001,224.57001,224.66,998604
2024-11-15 13:45:00,224.75999,224.77,224.45,224.66499,554381
2024-11-15 13:30:00,224.7,224.85001,224.52,224.75,990518
2024-11-15 13:15:00,224.64,224.95,224.53641,224.735,585624
2024-11-15 13:00:00,224.735,224.85001,224.48,224.64,1309459
2024-11-15 12:45:00,224.69501,224.82001,224.27,224.73,2376378
2024-11-15 12:30:00,224.87,224.88,224.44,224.7,634770
2024-11-15 12:15:00,224.995,225.17999,224.82001,224.87241,756104
2024-11-15 12:00:00,225.10001,225.10001,224.67,224.995,753790
2024-11-15 11:45:00,225.16499,225.48,225.03999,225.10001,918419
2024-11-15 11:30:00,225.231,225.31,224.91,225.14999,637095
2024-11-15 11:15:00,224.78999,225.24001,224.77,225.235,840007
2024-11-15 11:00:00,224.64,224.91,224.47,224.78999,903998
2024-11-15 10:45:00,224.8,225.17,224.59,224.62,1124374
2024-11-15 10:30:00,224.63,224.99001,224.50999,224.77499,871989
2024-11-15 10:15:00,224.67999,224.94,224.44,224.63,1245140
2024-11-15 10:00:00,225.065,225.3,224.64,224.675,1539593
2024-11-15 09:45:00,225.14999,225.64999,224.85001,225.07001,1655477
2024-11-15 09:30:00,225.92,226.92,225.09,225.1201,7709725
2024-11-14 15:45:00,227.8,228.38,227.61,228.19,2937629
2024-11-14 15:30:00,227.035,227.86501,227.035,227.78,1339153
2024-11-14 15:15:00,227.42,228.00999,226.99001,227.035,2349505
2024-11-14 15:00:00,228.27499,228.28,227.31,227.39999,1441413
2024-11-14 14:45:00,228.59,228.67999,228.21001,228.25999,756620
2024-11-14 14:30:00,228.50999,228.71001,228.435,228.58501,678603
2024-11-14 14:15:00,228.46001,228.55991,228.22,228.5275,801541
2024-11-14 14:00:00,228.05,228.87,228.03,228.46001,940701
2024-11-14 13:45:00,228.70779,228.71001,227.83,228.06,842425
2024-11-14 13:30:00,228.47009,228.71001,228.38,228.7,725930
2024-11-14 13:15:00,228.08,228.64,228.00999,228.47279,871476
2024-11-14 13:00:00,227.925,228.25,227.85001,228.075,758284
2024-11-14 12:45:00,227.7,228.23,227.34,227.925,1626633
2024-11-14 12:30:00,227.00999,227.71001,226.77,227.7,1070905
2024-11-14 12:15:00,226.85989,227.07001,226.66161,227.0,604706
2024-11-14 12:00:00,226.75,227.05,226.51221,226.845,488140
2024-11-14 11:45:00,226.8788,227.005,226.595,226.7401,572584
2024-11-14 11:30:00,226.58,227.08,226.5,226.87,707280
2024-11-14 11:15:00,226.67999,226.85001,226.42,226.42,789801
2024-11-14 11:00:00,226.52,227.06,226.36,226.67999,886374
2024-11-14 10:45:00,226.91,227.03,226.465,226.53,1055873
2024-11-14 10:30:00,226.565,226.9187,226.34,226.91,1577387
2024-11-14 10:15:00,225.62,226.60001,225.481,226.57001,1521803
2024-11-14 10:00:00,225.72,225.72,225.05,225.6461,1312236
2024-11-14 09:45:00,225.75999,226.405,225.58501,225.7215,1342678
2024-11-14 09:30:00,225.07001,226.48,225.07001,225.75,4194363
2024-11-13 15:45:00,225.81,225.92,224.47,225.07001,4191960
2024-11-13 15:30:00,225.38,225.86,225.215,225.82001,893694
2024-11-13 15:15:00,225.64,225.73,225.35001,225.37019,756654
2024-11-13 15:00:00,225.42,225.71989,225.11861,225.64999,960827
2024-11-13 14:45:00,225.34,225.74989,225.34,225.42999,541962
2024-11-13 14:30:00,225.91,225.9913,225.37,225.37,730125
2024-11-13 14:15:00,226.09,226.13,225.7529,225.91991,576758
2024-11-13 14:00:00,226.03,226.22501,225.825,226.10001,695723
2024-11-13 13:45:00,225.92,226.09,225.82001,226.02499,966082
2024-11-13 13:30:00,226.36,226.42999,225.87669,225.92,796034
2024-11-13 13:15:00,226.56,226.56,226.22,226.3638,565143
2024-11-13 13:00:00,226.53,226.64999,226.175,226.56,792579
2024-11-13 12:45:00,225.72501,226.61,225.72501,226.521,1505619
2024-11-13 12:30:00,225.02499,225.78,224.94,225.73,819411
2024-11-13 12:15:00,225.2,225.55,224.92,225.02,835983
2024-11-13 12:00:00,224.55499,225.36,224.55499,225.19,968263
2024-11-13 11:45:00,223.80499,224.60001,223.77499,224.55,792433
2024-11-13 11:30:00,224.4649,224.4825,223.77,223.80499,728983
2024-11-13 11:15:00,224.14999,224.42999,224.11,224.395,980186
2024-11-13 11:00:00,224.05,224.47,224.03999,224.14999,923478
2024-11-13 10:45:00,223.95,224.3,223.89,224.05,936042
2024-11-13 10:30:00,223.24001,224.06,223.22501,223.94991,1044612
2024-11-13 10:15:00,223.5901,223.7,223.16,223.21001,949144
2024-11-13 10:00:00,223.55,224.16,223.41,223.60001,1604080
2024-11-13 09:45:00,223.03999,223.67,222.75999,223.53999,1615191
2024-11-13 09:30:00,223.95,225.2099,223.34,223.3416,5902226
2024-11-12 15:45:00,224.095,224.8,223.96001,224.24001,3555109
2024-11-12 15:30:00,224.59,224.8,223.9404,224.095,1920763
2024-11-12 15:15:00,224.5,224.82001,224.46001,224.60001,763948
2024-11-12 15:00:00,224.53,224.67,224.4404,224.515,540670
2024-11-12 14:45:00,224.57001,224.7299,224.5201,224.53,485487
2024-11-12 14:30:00,224.63,224.64999,224.46001,224.55099,427092
2024-11-12 14:15:00,224.62,224.7599,224.42,224.6199,529620
2024-11-12 14:00:00,224.14,224.67,224.14,224.62,738805
2024-11-12 13:45:00,224.44501,224.53999,224.14,224.1498,650355
2024-11-12 13:30:00,224.45,224.59,224.285,224.44,640233
2024-11-12 13:15:00,223.86,224.47,223.78,224.47,689858
2024-11-12 13:00:00,223.42,223.89751,223.355,223.86301,641269
2024-11-12 12:45:00,224.14,224.14999,223.386,223.41991,712087
2024-11-12 12:30:00,223.92,224.39999,223.86,224.13,771170
2024-11-12 12:15:00,224.795,224.84,223.88499,223.92,896875
2024-11-12 12:00:00,224.96001,225.07001,224.62,224.78,1133917
2024-11-12 11:45:00,224.91499,225.50999,224.8,224.96561,1242401
2024-11-12 11:30:00,224.99989,225.2,224.83,224.92,802025
2024-11-12 11:15:00,225.23,225.59,224.935,225.0,1281573
2024-11-12 11:00:00,224.59,225.3643,224.53,225.23,1146691
2024-11-12 10:45:00,224.5,225.03,224.42999,224.60001,1103654
2024-11-12 10:30:00,224.205,224.72,224.17999,224.47681,1164349
2024-11-12 10:15:00,223.91499,224.235,223.69,224.17,863846
2024-11-12 10:00:00,224.25,224.3721,223.66,223.91,1062561
2024-11-12 09:45:00,223.95,224.5,223.575,224.25999,1416834
2024-11-12 09:30:00,224.63,225.03999,223.58,223.965,3280187
2024-11-11 15:45:00,223.755,224.35001,223.46001,224.25,2934504
2024-11-11 15:30:00,223.64,223.92999,223.625,223.755,988346
2024-11-11 15:15:00,223.34,223.74001,223.31,223.63499,876650
2024-11-11 15:00:00,223.05,223.36,223.015,223.34,664600
2024-11-11 14:45:00,223.0388,223.13,222.97,223.045,461539
2024-11-11 14:30:00,223.06,223.17999,222.97,223.03059,568177
2024-11-11 14:15:00,223.0,223.10001,222.94,223.06,548303
2024-11-11 14:00:00,222.90849,223.08501,222.84,222.985,654720
2024-11-11 13:45:00,222.745,222.99001,222.72,222.89999,742574
2024-11-11 13:30:00,222.44991,222.75,222.36,222.74519,849952
2024-11-11 13:15:00,221.8,222.46001,221.75,222.46001,645249
2024-11-11 13:00:00,221.86,221.86,221.5,221.795,999811
2024-11-11 12:45:00,221.905,222.0,221.7,221.86,1038133
2024-11-11 12:30:00,222.19,222.24001,221.88,221.905,1022067
2024-11-11 12:15:00,222.52,222.52,222.00999,222.19501,1114408
2024-11-11 12:00:00,222.78,222.875,222.39999,222.50999,940724
2024-11-11 11:45:00,222.81,223.13879,222.66,222.77991,1611149
2024-11-11 11:30:00,222.78,223.03,222.7,222.81,891452
2024-11-11 11:15:00,223.00999,223.03999,222.67,222.77,902767
2024-11-11 11:00:00,222.755,223.35001,222.75,222.99001,1126651
2024-11-11 10:45:00,223.19,223.24001,222.745,222.75,1423022
2024-11-11 10:30:00,222.81,223.72,222.8,223.19,1556172
2024-11-11 10:15:00,223.08,223.35001,222.78999,222.80499,1384834
2024-11-11 10:00:00,222.89999,223.49001,222.8636,223.0899,1801008
2024-11-11 09:45:00,224.19,224.63,222.77,222.895,3243466
2024-11-11 09:30:00,225.05499,225.7,223.745,224.19,4812751
2024-11-08 15:45:00,226.955,227.3,226.72,227.16,5583109
2024-11-08 15:30:00,227.45,227.485,226.89,226.955,984708
2024-11-08 15:15:00,227.5101,227.72,227.3101,227.48,742576
2024-11-08 15:00:00,227.435,227.60001,227.25999,227.52,684789
2024-11-08 14:45:00,227.64999,227.66,227.38,227.44,408254
2024-11-08 14:30:00,227.53,227.67999,227.42,227.66,477848
2024-11-08 14:15:00,227.39999,227.605,227.3801,227.5399,429352
2024-11-08 14:00:00,227.495,227.5782,227.23,227.39999,484883
2024-11-08 13:45:00,227.35201,227.61,227.17,227.5,2527799
2024-11-08 13:30:00,227.0,227.44501,226.97,227.364,558714
2024-11-08 13:15:00,226.965,227.05,226.78999,226.995,440857
2024-11-08 13:00:00,227.035,227.17999,226.895,226.965,1055669
2024-11-08 12:45:00,227.095,227.3,227.02,227.02,459779
2024-11-08 12:30:00,226.87,227.4565,226.86301,227.095,610406
2024-11-08 12:15:00,227.03999,227.12,226.75,226.88,536406
2024-11-08 12:00:00,227.265,227.28,226.97,227.03999,643928
2024-11-08 11:45:00,227.27499,227.58,227.23,227.27,745686
2024-11-08 11:30:00,226.685,227.38,226.685,227.28,770387
2024-11-08 11:15:00,226.64999,227.00999,226.58,226.6881,846397
2024-11-08 11:00:00,226.515,226.91,226.4084,226.6624,1101532
2024-11-08 10:45:00,227.11,227.14,226.505,226.5101,902375
2024-11-08 10:30:00,227.48,227.56,226.91,227.11,940100
2024-11-08 10:15:00,227.75999,228.1499,227.44,227.49471,938509
2024-11-08 10:00:00,227.78,228.09,227.52299,227.7699,1195061
2024-11-08 09:45:00,228.155,228.21001,227.59,227.7699,1961694
2024-11-08 09:30:00,227.14,228.66,227.14,228.145,3054568
2024-11-07 15:45:00,227.655,227.87,226.75,227.69,4342816
2024-11-07 15:30:00,227.535,227.69,227.39,227.64999,926051
2024-11-07 15:15:00,227.515,227.75999,227.5,227.53,1036788
2024-11-07 15:00:00,227.5,227.58501,227.25999,227.52,835796
2024-11-07 14:45:00,227.12,227.50999,227.06,227.505,760677
2024-11-07 14:30:00,227.11,227.42999,226.855,227.13,1250837
2024-11-07 14:15:00,227.14,227.2,226.96001,227.10001,487681
2024-11-07 14:00:00,227.0999,227.38,226.8,227.13989,682980
2024-11-07 13:45:00,226.83,227.25999,226.75,227.09891,525679
2024-11-07 13:30:00,227.10001,227.11,226.745,226.8279,474537
2024-11-07 13:15:00,226.85001,227.11,226.77,227.1033,600001
2024-11-07 13:00:00,227.205,227.23,226.78,226.845,710964
2024-11-07 12:45:00,227.44,227.49001,227.14,227.2,667698
2024-11-07 12:30:00,227.21001,227.45,227.12,227.45,619860
2024-11-07 12:15:00,227.265,227.42,227.1001,227.215,696073
2024-11-07 12:00:00,227.062,227.35001,226.75999,227.27,886345
2024-11-07 11:45:00,226.39,227.10001,226.39,227.07001,1140782
2024-11-07 11:30:00,226.3,226.45,226.17,226.38,724450
2024-11-07 11:15:00,226.14999,226.32001,225.82001,226.30499,735119
2024-11-07 11:00:00,226.23,226.42,225.785,226.155,855261
